Porcentagem 0,Porcentagem 10,Porcentagem 20,Porcentagem 30,Porcentagem 40,Porcentagem 50,Porcentagem 60,Porcentagem 70,Porcentagem 80,Porcentagem 90
0.6411059149299424,0.6140458865189024,0.6082027829467036,0.6359223528850343,0.6413335854179933,0.6845358101570713,0.6872075975850118,0.7180741839123509,0.7571023618779291,0.8690984860567241
0.64375,0.6173076923076923,0.6120192307692307,0.6365384615384615,0.6427884615384616,0.6855769230769232,0.6884615384615385,0.7197115384615385,0.7576923076923077,0.8692307692307691
0.6481237467292187,0.6213351097632234,0.6164667318659374,0.6372973665930114,0.6452075771449505,0.6879906525689471,0.6910067687585717,0.7242766137330344,0.7601936402647976,0.8706931133775558
0.6437499999999999,0.6173076923076923,0.6120192307692307,0.6365384615384615,0.6427884615384616,0.6855769230769232,0.6884615384615385,0.7197115384615385,0.7576923076923077,0.8692307692307691
0.032123565673828125,0.02768683433532715,0.025582313537597656,0.02521648406982422,0.02442169189453125,0.023410797119140625,0.021706199645996092,0.02125720977783203,0.0212127685546875,0.020533943176269533
0.007800621372906754,0.011324493575761948,0.013743376932677822,0.027490814920038017,0.009691872654255635,0.010747948739418683,0.028590926420145556,0.023728223514739178,0.011613469234677829,0.011870975928929729
0.007509855457602579,0.010356086167566355,0.012407199904388412,0.02700023285019034,0.009805806756909204,0.010243882573395442,0.027433351187859844,0.022271605426731688,0.0115184120679913,0.01183512848566458
0.00782835002990926,0.009952400324433328,0.012294277392795459,0.02658672511330853,0.010741571690978793,0.00962672778913263,0.025901912966627822,0.01897109776369677,0.011334748261420724,0.011588969342995421
0.007509855457602548,0.010356086167566355,0.012407199904388402,0.0270002328501903,0.009805806756909204,0.010243882573395403,0.0274333511878598,0.022271605426731667,0.0115184120679913,0.011835128485664604
0.007482028259700614,0.0016369269525966829,0.0005140349904569916,0.0004969499911363837,0.0013066075558282781,0.0009369325744474717,0.000613622665479382,0.0008592933628412676,0.0010464562654809617,0.0005276403992144883
